Why do Varroa mites prefer nurse bees?	The Varroa mite, Varroa destructor, is an acarine ecto-parasite on Apis mellifera. It is the worst pest of Apis mellifera, yet its reproductive biology on the host is not well understood. In particular, the significance of the phoretic stage, when mites feed on adult bees for a few days, is not clear. In addition, it is not clear whether the preference of mites for nurses observed in the laboratory also happens inside real colonies. We show that Varroa mites prefer nurses over both newly emerged bees and forgers in a colony setting. We then determined the mechanism behind this preference. We show that this preference maximizes Varroa fitness, although due to the fact that each mite must find a second host (a pupa) to reproduce, the fitness benefit to the mites is not immediate but delayed. Our results suggest that the Varroa mite is a highly adapted parasite for honey bees.		human, human experiment, nurse, parasite, Varroa	2016-06-15
Differential physiological effects of neonicotinoid insecticides on honey bees: A comparison between Apis mellifera and Apis cerana	Acute toxicities (LD50s) of imidacloprid and clothianidin to Apis mellifera and A. cerana were investigated. Changing patterns of immune-related gene expressions and the activities of four enzymes between the two bee species were compared and analyzed after exposure to sublethal doses of insecticides. Results indicated that A. cerana was more sensitive to imidacloprid and clothianidin than A. mellifera. The acute oral LD50 values of imidacloprid and clothianidin for A. mellifera were 8.6 and 2.0 ng/bee, respectively, whereas the corresponding values for A. cerana were 2.7 and 0.5 ng/bee. The two bee species possessed distinct abilities to mount innate immune response against neonicotinoids. After 48 h of imidacloprid treatment, carboxylesterase (CCE), prophenol oxidase (PPO), and acetylcholinesterase (AChE) activities were significantly downregulated in A. mellifera but were upregulated in A. cerana. Glutathione-S-transferase (GST) activity was significantly elevated in A. mellifera at 48 h after exposure to imidacloprid, but no significant change was observed in A. cerana. AChE was downregulated in both bee species at three different time points during clothianidin exposure, and GST activities were upregulated in both species exposed to clothianidin. Different patterns of immune-related gene expression and enzymatic activities implied distinct detoxification and immune responses of A. cerana and A. mellifera to imidacloprid and clothianidin. © 2017 Elsevier Inc.		clothianidin, guanidine derivative, histocompatibility antigen, imidacloprid, insecticide, neonicotinoid, nitro derivative, thiazole derivative, animal, bee, chemistry, comparative study, drug effects, species difference, Animals, Bees, Guanidines, Histocompatibility Antigens, Insecticides, Neonicotinoids, Nitro Compounds, Species Specificity, Thiazoles	2017-08-01
Ecological stoichiometry of the honeybee: Pollen diversity and adequate species composition are needed to mitigate limitations imposed on the growth and development of bees by pollen quality	The least understood aspects of the nutritional needs of bees are the elemental composition of pollen and the bees’ need for a stoichiometrically balanced diet containing the required proportions of nutrients. Reduced plant diversity has been proposed as an indirect factor responsible for the pollinator crisis. We suggest stoichiometric mismatch resulting from a nutritionally unbalanced diet as a potential direct factor. The concentrations and stoichiometric ratios of C, N, S, P, K, Na, Ca, Mg, Fe, Zn, Mn, and Cu were studied in the bodies of honeybees of various castes and sexes and in the nectar and pollen of various plant species. A literature review of the elemental composition of pollen was performed. We identified possible co-limitations of bee growth and development resulting mainly from the scarcity of Na, S, Cu, P and K, and possibly Zn and N, in pollen. Particular castes and sexes face specific limitations. Concentrations of potentially limiting elements in pollen revealed high taxonomic diversity. High floral diversity may be necessary to maintain populations of pollen eaters. Single-species crop plantations, even if these species are rich in nectar and pollen, might limit bee growth and development, not allowing for gathering nutrients in adequate proportions. However, particular plant species may play greater roles than others in balancing honeybee diets. Therefore, we suggest specific plant species that may (1) ensure optimal growth and production of individuals by producing pollen that is exceptionally well balanced stoichiometrically (e.g., clover) or (2) prevent growth and development of honeybees by producing pollen that is extremely unbalanced for bees (e.g., sunflower). Since pollen is generally poor in Na, this element must be supplemented using “dirty water”. Nectar cannot supplement the diet with limiting elements. Stoichiometric mismatch should be considered in intervention strategies aimed at improving the nutritional base for bees. © 2017 Filipiak et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.		clover, diet, honeybee, insect caste, nectar, nonhuman, nutrient, plantation, species composition, stoichiometry, sunflower, animal, bee, ecology, female, genetics, male, physiology, pollen, pollination, Animals, Bees, Ecology, Female, Male, Pollen, Pollination	2017-08-01
A diverse range of novel RNA viruses in geographically distinct honey bee populations	Understanding the diversity and consequences of viruses present in honey bees is critical for maintaining pollinator health and managing the spread of disease. The viral landscape of honey bees (Apis mellifera) has changed dramatically since the emergence of the parasitic mite Varroa destructor, which increased the spread of virulent variants of viruses such as deformed wing virus. Previous genomic studies have focused on colonies suffering from infections by Varroa and virulent viruses, which could mask other viral species present in honey bees, resulting in a distorted view of viral diversity. To capture the viral diversity within colonies that are exposed to mites but do not suffer the ultimate consequences of the infestation, we examined populations of honey bees that have evolved naturally or have been selected for resistance to Varroa. This analysis revealed seven novel viruses isolated from honey bees sampled globally, including the first identification of negative-sense RNA viruses in honey bees. Notably, two rhabdoviruses were present in three geographically diverse locations and were also present in Varroa mites parasitizing the bees. To characterize the antiviral response, we performed deep sequencing of small RNA populations in honey bees and mites. This provided evidence of a Dicer-mediated immune response in honey bees, while the viral small RNA profile in Varroa mites was novel and distinct from the response observed in bees. Overall, we show that viral diversity in honey bee colonies is greater than previously thought, which encourages additional studies of the bee virome on a global scale and which may ultimately improve disease management. © 2017 American Society for Microbiology.		dicer, Article, controlled study, enzyme activity, geographic origin, honeybee, immune response, infestation, nonhuman, organismal interaction, population research, priority journal, Rhabdoviridae, RNA sequence, RNA virus, species diversity, Varroa, virus identification, virus isolation, animal, bee, biodiversity, classification, genetic variation, genetics, isolation and purification, parasitology, RNA virus, Varroidae, virology, Animals, Bees, Biodiversity, Genetic Variation, RNA Viruses, Varroidae	2017-08-01
Mosquito-specific and mosquito-borne viruses: evolution, infection, and host defense	Recent virus discovery programs have identified an extensive reservoir of viruses in arthropods. It is thought that arthropod viruses, including mosquito-specific viruses, are ancestral to vertebrate-pathogenic arboviruses. Mosquito-specific viruses are restricted in vertebrate cells at multiple levels, including entry, RNA replication, assembly, and by the inability to replicate at high temperatures. Moreover, it is likely that the vertebrate immune system suppresses replication of these viruses. The evolution from single to dual-host tropism may also require changes in the course of infection in the mosquito host. In this review we explore the adaptive changes required for a switch from a mosquito-specific to a mosquito-borne transmission cycle. © 2017 Elsevier Inc.			2017-08-01
Effects of parasites and pathogens on bee cognition	1. Bees are key pollinators and their widespread decline has raised considerable concerns regarding the sustainability of ecosystems and food production. Many environmental stressors do not directly kill bees, but they alter their physiology and behaviour, ultimately impacting colonies and populations. 2. This review considers the impact of parasites and pathogens on bee cognition. 3. First the main parasites and pathogens of bees are described, as well as how they modify the foraging behaviour, learning and memory of their hosts. 4. Next, the various defence mechanisms developed by bees to mitigate these effects at both the individual and collective levels are examined. 5. Finally, there is a discussion on how integrating research on host parasites, animal behaviour and cognition will provide a more detailed assessment of the contribution of parasites and pathogens to declines in the bee population and help to inform constructive ecological interventions. © 2017 The Royal Entomological Society		Animalia, Apis mellifera, Apoidea, Crithidia, Nosema, Varroa	2017-08-01
WSN analysis in grid topology for potato crops for IoT	Due to the development of Internet of things (IoT) and extensive use of Wireless Sensor Networks (WSN) in precision agriculture, we take potato crops as a study domain for sensors and their behavior on their deployment in a particular area. We study how application responsiveness is determined by performance metrics in wireless communications. We also describe how data collected by the sensors AIDS in finding solutions to the cropfis domain problems through data aggregation over time. .e aim of this work is to analyze traffic behavior of a grid-Topology wireless sensor network, chosen based on the distance between rows and potato plants within a hectare, by analyzing the performance of a service request from an IoT application. © 2017 ACM.		Crops, Internet of things, Topology, Wireless telecommunication systems, Data aggregation, Finding solutions, Grid topology, Internet of Things (IOT), Performance metrics, Precision Agriculture, Service requests, Wireless communications, Wireless sensor networks	2017-07-17
Osmotic concentration in three races of honey bee, Apis mellifera L. under environmental conditions of arid zone	Hemolymph osmolarity has great effect on honey bee health, especially in arid and semi-arid zones. It regulates water and nutrients in stressed tissues. Osmotic concentration in three races (Apis mellifera ligustica, A. m. carnica and A. m. jemenitica) of Apis mellifera was tested in central Saudi Arabia during spring and summer seasons in 2015. Newly emerged bee workers were first marked and later their hemolymph was extracted after intervals of 1, 5, 10, 15, 20 and 25 days. A significant positive correlation between age and osmolarity was found in all three races during spring and summer seasons. The lowest combined osmotic concentration for all three races was found after 1 day interval, while the highest osmotic concentration was recorded after 25 days. Among all races, A. m. ligustica showed significantly high osmotic concentration after 25 days in spring and summer seasons as compared to the other two races. Only A. m. jemenitica showed similar osmotic concentration after 10 and 15 days in both spring and summer seasons compared to other two races. Mean osmotic concentration of all three races was significantly different after 20 and 25 days in spring and summer seasons. Overall mean recorded during summer was significantly higher than the mean of spring season. Combined osmotic concentration in young drones of all races was significantly lower than that of old drones during spring and summer seasons. © 2016			2017-07-01
Nosemosis in worker bees and their relationship with environmental factors in Jalisco, Mexico	Nosemosis is caused by Nosema spp microsporidium that parasites the midgut of adult worker bees, it is mortal in its acute form and causes very important economic losses for the beekeeper. The knowledge of the infection caused by N. spp in worker bees can help to prevent the spreading or control infection between colonies. The objective of the present work was to determine the presence and intensity of infection of N. spp in worker bees' colonies and its relation with temperature, pluvial precipitation and altitude in this region. Samples of Apis mellifera workers (n=352) were obtained from eight municipalities of south southwest of Jalisco. For the diagnosis, the abdomen tenderize method (Cantwell) was used and the Jaycox method to obtain the number of spores by bee. One hundred percent of the samples resulted positive, and 83.75 % of them between 1 to 5 million spores of by bee was presented. Weak correlations were obtained between the intensity of infection with the altitude (r= -0.35), the temperature (r= 0.44) and the pluvial precipitation (r= -0.12), for what can be suggested that these parameters do not majorly influence the presence of the disease. The obtained results suggest that all workers bees' colonies of the sampled municipalities should be treated in a periodic way with antibiotics, or biologic control removing each year older honeycombs in the colonies and the annual change of queens.		antibiotic agent, altitude, Apis mellifera, Article, bee, environmental factor, nonhuman, nosemosis, precipitation, temperature	2017-07-01
Food for honeybees? Pollinators and seed set of Anthyllis barba-jovis L. (Fabaceae) in arid coastal areas of the Mediterranean basin	Abundance and diversity of insect pollinators are declining in many ecosystems worldwide. The abundance and diversity of wild and managed bees are related to the availability of continuous floral resources. In particular, in Mediterranean basin countries, the presence of wildflower spots enhances the establishment of social Apoidea, since coastal regions are usually characterized by pollen and nectar shortage in early spring and late summer. Anthyllis barba-jovis produces both nectar and pollen as important food source for bees helping them to overcome early spring period food shortage. We investigated flowering, seed set, and pollinator diversity of A. barba-jovis in arid coastal environments of the Mediterranean basin. Pollinator abundance reached a maximum in early April. Honeybees were the most common pollinators followed by bumblebees and solitary bees. Plants prevented from entomophilous pollination showed inbreeding depression with a strong decrease in seed-set. To the best of our knowledge, this is the first report on pollination ecology of A. barba-jovis. © 2017 The Authors			2017-07-01
Effects of synthetic acaricides on honey bee grooming behavior against the parasitic Varroa destructor mite	Varroa destructor is currently one of the main threats for western apiculture. Today, synthetic acaricides (specifically coumaphos, amitraz, and tau-fluvalinate) are the most common methods to control Varroa infestations. These compounds, however, are frequently related to a wide range of side effects in the host, as well as a long half-life inside the hive matrices (wax and honey). The western honey bee, Apis mellifera, exhibits natural defense mechanisms against the mite such as grooming behavior, which is a sequence of bodily movements where the host scrapes its legs across its body surface to remove the mite. We tested the effects of synthetic acaricides on the performance of grooming behavior by adult honey bee workers. We found that acaricide exposure prior to grooming delayed grooming and reduced the overall duration of grooming behavior. Our data add to a list of other sublethal behavioral consequences of acaricides that may subvert a comprehensive approach to Varroa control in managed colonies. © 2017, INRA, DIB and Springer-Verlag France.		acaricide, adult, chemical compound, chemical control, grooming, honeybee, mite, parasite, Acari, Apis mellifera, Varroa, Varroa destructor	2017-07-01
Continuous release of oregano oil effectively and safely controls Varroa destructor infestations in honey bee colonies in a northern climate	The ectoparasitic mite Varroa destructor is responsible for the death of millions of honey bee (Apis mellifera) colonies worldwide. Testing potential miticide compounds with different delivery methods that effectively control V. destructor and have low toxicity for honey bees is crucial to manage this parasite in hives. We determined the varroacide efficacy of three natural compounds delivered to hives with three application methods over a 4-week period. Oxalic acid in a sucrose solution was applied impregnated in cardboard (T1). A mixture of oregano and clove oils in an ethanol-gelatin solution was applied impregnated in absorbent pads (T2). Oregano oil alone was delivered using electric vaporizers (T3) to test the hypothesis that continuous release of miticides increases the varroacidal efficacy of essential oils. The varroa mite control rates for treatments T1–T3 were 76.5 ± 7.11, 57.8 ± 12.79 and 97.4 ± 0.68%, respectively, and there were no differences for bee mortality between control and treatments 1 and 3. Additionally, most mites were killed in the first 2 weeks in T3 colonies compared to the last 2 weeks in colonies of the other treatments. These results demonstrate the importance of continuously releasing natural miticides to achieve safe and high rates of mite control in hives. They also show that oregano oil may be an effective miticide against V. destructor infestations in colonies. © 2017, The Author(s).		biological control, climate conditions, ectoparasite, honeybee, insecticide, mite, mortality, numerical method, parasite control, parasite infestation, potential biocontrol agent, vegetable oil, Acari, Apis mellifera, Apoidea, Origanum, Syzygium aromaticum, Varroa, Varroa destructor	2017-07-01
Influence of different pollen diets on the development of hypopharyngeal glands and size of acid gland sacs in caged honey bees (Apis mellifera)	We examined the consumption rate of protein diets in caged and free-flying honey bees, amino acid composition of diets, and diet effects on gland development. The effect of seven different diets (sugar solution only, Feedbee®, Helianthus pollen, Sinapis pollen, Asparagus pollen, Castanea pollen, and mixed pollen diet) on the development of the hypopharyngeal (HPG) and acid glands (AG) was tested in caged honey bees. Caged bees consumed the protein diet mainly at the age of 1–8 days, with the highest consumption rate on day 3. Different diets affected the development of both glands. The acini of HPG attained their maximum size in caged bees at an age of 5 days. Bees fed with Castanea sp., Asparagus sp., or mixed pollen had the largest glands among all test groups of this age. The AG sacs of caged bees grew in size between 5 and 12 days and were at day 18 less affected by different protein diets. Castanea sp. and mixed pollen diets were preferably consumed in free-flying colonies. © 2016, The Author(s).		biological development, cage culture, developmental biology, diet, endocrine system, food consumption, honeybee, nutrition, pollen, protein, Apis mellifera, Apoidea, Asparagus, Castanea, Helianthus, Sinapis	2017-07-01
The effects of clove oil on the enzyme activity of Varroa destructor Anderson and Trueman (Arachnida: Acari: Varroidae)	Varroa destructor, a key biotic threat to the Western honey bee, has played a major role in colony losses over the past few years worldwide. Overuse of traditional acaricides, such as tau-fluvalinate and flumethrin, on V. destructor has only increased its tolerance to them. Therefore, the application of essential oils in place of traditional pesticides is an attractive alternative, as demonstrated by its high efficiency, lack of residue and tolerance resistance. To study the acaricidal activity of essential oils, we used clove oil (Syzygium aromaticum L.), a typical essential oil with a wide range of field applications, and examined its effects on the enzyme activities of Ca2+-Mg2+-ATPase, glutathione-S-transferase (GST) and superoxide dismutase (SOD) and its effects on the water-soluble protein content of V. destructor body extracts after exposure to 0.1 μl and 1.0 μl of clove oil for 30 min. Our results showed that the water-soluble protein content significantly decreased after the treatments, indicating that the metabolism of the mites was adversely affected. The bioactivity of GSTs increased significantly after a low dosage (0.1 μl) exposure but decreased at a higher dosage (1.0 μl), while the activities of SOD and Ca2+-Mg2+-ATPase were significantly elevated after treatments. These results suggest that the protective enzyme SOD and detoxifying enzymes Ca2+-Mg2+-ATPase and GST contributed to the stress reaction of V. destructor to the essential oils and that the detoxification ability of V. destructor via GST was inhibited at higher dosages. Our findings are conducive to understanding the physiological reactions of V. destructor to treatment with essential oils and the underlying mechanisms behind the acaricidal activities of these natural products. © 2017 The Authors			2017-07-01
Comparative study on the dynamics and performances of Apis mellifera jemenitica and imported hybrid honeybee colonies in southwestern Saudi Arabia	The aims of this study were to assess the seasonal population dynamics and evaluate the performance of Apis mellifera jemenitica (local bee) and introduced hybrid honeybee colonies in the lowlands and highlands of southwestern Saudi Arabia. Data regarding the performance and population dynamics parameters such as brood and adult bee population, amounts of stored pollen and nectar were gathered from the two races (25 colonies of each) for one year (April 2013 through March 2014), and statistically tested. The results indicated that at low lands, local bee colonies maintained relatively high brood and adult bee populations (P < 0.05) than introduced honeybee colonies and produced more (P < 0.05) honey. The local bee colonies were able to hoard three times more (P < 0.05) pollen and built more (P < 0.05) queen cells than introduced bees in both the low and highland areas. The annual survival rate of local bee colonies was almost double (P < 0.05) than that of introduced honeybee colonies. Moreover, local bees had greater (P < 0.05) adult bee and brood populations than imported, throughout the year. The relatively good performance of local colonies could be due to their long year's adaptation to cope with resource scarcity and unpredictable environmental conditions of the regions. The possible reasons for the dwindling of the imported hybrid colonies could be due to continuing to exhibit adaptive characteristics of their original that might not fit well with the new environment. © 2017 The Authors			2017-07-01
Performance of honey bee colonies under a long-lasting dietary exposure to sublethal concentrations of the neonicotinoid insecticide thiacloprid	BACKGROUND: Substantial honey bee colony losses have occurred periodically in the last decades. The drivers for these losses are not fully understood. The influence of pests and pathogens are beyond dispute, but in addition, chronic exposure to sublethal concentrations of pesticides has been suggested to affect the performance of honey bee colonies. This study aims to elucidate the potential effects of a chronic exposure to sublethal concentrations (one realistic worst-case concentration) of the neonicotinoid thiacloprid to honey bee colonies in a three year replicated colony feeding study. RESULTS: Thiacloprid did not significantly affect the colony strength. No differences between treatment and control were observed for the mortality of bees, the infestation with the parasitic mite Varroa destructor and the infection levels of viruses. No colony losses occurred during the overwintering seasons. Furthermore, thiacloprid did not influence the constitutive expression of the immunity-related hymenoptaecin gene. However, upregulation of hymenoptaecin expression as a response to bacterial challenge was less pronounced in exposed bees than in control bees. CONCLUSION: Under field conditions, bee colonies are not adversely affected by a long-lasting exposure to sublethal concentrations of thiacloprid. No indications were found that field-realistic and higher doses exerted a biologically significant effect on colony performance. © 2017 The Authors. Pest Management Science published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry. © 2017 The Authors. Pest Management Science published by John Wiley & Sons Ltd on behalf of Society of Chemical Industry.		feeding, honeybee, mite, mortality, neonicotinoid pesticide, overwintering, performance assessment, sublethal effect, thiacloprid, Acari, Apis mellifera, Apoidea, Bacteria (microorganisms), Varroa destructor	2017-07-01
Persistence of subclinical deformed wing virus infections in honeybees following Varroa mite removal and a bee population turnover	Deformed wing virus (DWV) is a lethal virus of honeybees (Apis mellifera) implicated in elevated colony mortality rates worldwide and facilitated through vector transmission by the ectoparasitic mite Varroa destructor. Clinical, symptomatic DWV infections are almost exclusively associated with high virus titres during pupal development, usually acquired through feeding by Varroa mites when reproducing on bee pupae. Control of the mite population, generally through acaricide treatment, is essential for breaking the DWV epidemic and minimizing colony losses. In this study, we evaluated the effectiveness of remedial mite control on clearing DWV from a colony. DWV titres in adult bees and pupae were monitored at 2 week intervals through summer and autumn in acaricide-treated and untreated colonies. The DWV titres in Apistan treated colonies was reduced 1000-fold relative to untreated colonies, which coincided with both the removal of mites and also a turnover of the bee population in the colony. This adult bee population turnover is probably more critical than previously realized for effective clearing of DWV infections. After this initial reduction, subclinical DWV titres persisted and even increased again gradually during autumn, demonstrating that alternative non-Varroa transmission routes can maintain the DWV titres at significant subclinical levels even after mite removal. The implications of these results for practical recommendations to mitigate deleterious subclinical DWV infections and improving honeybee health management are discussed. © 2017 Locke et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.		acaricide, apistan, unclassified drug, acaricide, virus RNA, adult, animal experiment, Article, autumn, controlled study, deformed wing virus, demography, drug efficacy, honeybee, infection rate, integrated pest management, mite control, mite infestation, nonhuman, organism colony, population structure, pupa, quantitative analysis, summer, survival, Varroa, varroosis, virus, virus infection, virus titration, animal, bee, disease carrier, drug effects, Ectoparasitic Infestations, genetics, growth, development and aging, parasitology, pathogenicity, Picornaviridae, procedures, season, tick control, Varroidae, virology, virus load, Acaricides, Animals, Bees, Disease Vectors, Ectoparasitic Infestations, Picornaviridae, Pupa, RNA, Viral, Seasons, Tick Control, Varroidae, Viral Load	2017-07-01
Viral and intestinal diseases detected in apis mellifera in central and southern Chile	The honeybee (Apis mellifera L.) is an important pollinator worldwide. Beekeepers have experienced an increasing loss of colonies in recent years and pathologies including viruses and intestinal parasites such as Nosema ceranae are among those held responsible for this decline. The aim of this study was to determine the prevalence and distribution, using the real time PCR method, of six honeybee viruses including Deformed Wing Virus (DWV), Black Queen Cell Virus (BQCV), Sacbrood Virus (SBV), Acute Bee Paralysis Virus (ABPV), Chronic Bee Paralysis Virus (CBPV) and Israeli Acute Paralysis Virus (IAPV) in addition to three intestinal parasites, N. ceranae, N. apis and Lotmaria passim in Chilean beehives distributed between the Metropolitan Region and La Araucanía Region. Among the viruses, BQCV was the most prevalent in the analyzed hives, ranging from 72% to 100%, N. ceranae was detected between 19% to 53% and L. passim showed infections ranging from 45% to 73%. Similarly, BQCV (96%) and N. ceranae (42%) were more prevalent in spring-summer whilst DWV (37%) and L. passim (68%) were more frequents in autumn-winter seasons. Furthermore, mixed infections were also detected, wherein viruses were found along with L. passim or viruses with N. ceranae and L. passim, which proved to be the most prevalent. Of the 467 hives analyzed, 97.2% were infected with one or more of the studied pathogens, indicating that they are widely spread in Chile. © 2017, Instituto de Investigaciones Agropecuarias, INIA. All rights reserved.			2017-07-01
Chronic exposure to neonicotinoids reduces honey bee health near corn crops	Experiments linking neonicotinoids and declining bee health have been criticized for not simulating realistic exposure. Here we quantified the duration and magnitude of neonicotinoid exposure in Canada’s corn-growing regions and used these data to design realistic experiments to investigate the effect of such insecticides on honey bees. Colonies near corn were naturally exposed to neonicotinoids for up to 4 months - the majority of the honey bee’s active season. Realistic experiments showed that neonicotinoids increased worker mortality and were associated with declines in social immunity and increased queenlessness over time. We also discovered that the acute toxicity of neonicotinoids to honey bees doubles in the presence of a commonly encountered fungicide. Our work demonstrates that field-realistic exposure to neonicotinoids can reduce honey bee health in corn-growing regions. © 2017, American Association for the Advancement of Science. All rights reserved.		clothianidin, thiamethoxam, insecticide, nitro derivative, experimental study, health risk, honeybee, immunity, insecticide, maize, mortality, neonicotinoid pesticide, nontarget organism, pollution effect, pollution exposure, toxicity, acute toxicity, adult, animal experiment, animal health, Article, Canada, controlled study, crop, honeybee, long term exposure, maize, mortality, nonhuman, priority journal, queen (insect), worker (insect), animal, bee, chemistry, colony collapse, crop, drug effects, growth, development and aging, larva, maize, pollen, Canada, Apis mellifera, Apoidea, Zea mays, Animals, Bees, Canada, Colony Collapse, Crops, Agricultural, Insecticides, Larva, Nitro Compounds, Pollen, Zea mays	2017-06-30
Quality of augmented reality experience: A correlation analysis	We performed a user study in which we investigated the user experience of HoloBee, a visual analytics system for the exploration of bee drift data. We compared two user interfaces, a head-mounted augmented reality (aR) interface and a desktop interface. We present here a correlation analysis of the user experience ratings that we collected in a questionnaire: intuitive, easy to use, comfortable, natural, and efficient. All criteria are strongly correlated with an interface preference rating. Efficient and comfortable are, respectively, found to be most and least strongly correlated with interface preference. Furthermore, while all rating criteria are highly correlated amongst themselves for the desktop interface, natural and intuitive are only marginally correlated for the AR interface indicating that natural user interfaces are not necessarily intuitive. © 2017 IEEE.		Augmented reality, Correlation methods, Multimedia systems, User interfaces, Correlation analysis, Desktop interfaces, Drift data, Highly-correlated, Natural user interfaces, User experience, User study, Visual analytics systems, Quality control	2017-06-30
The geometric framework for nutrition reveals interactions between protein and carbohydrate during larval growth in honey bees	In holometabolous insects, larval nutrition affects adult body size, a life history trait with a profound influence on performance and fitness. Individual nutritional components of larval diets are often complex and may interact with one another, necessitating the use of a geometric framework for elucidating nutritional effects. In the honey bee, Apis mellifera, nurse bees provision food to developing larvae, directly moderating growth rates and caste development. However, the eusocial nature of honey bees makes nutritional studies challenging, because diet components cannot be systematically manipulated in the hive. Using in vitro rearing, we investigated the roles and interactions between carbohydrate and protein content on larval survival, growth, and development in A. mellifera. We applied a geometric framework to determine how these two nutritional components interact across nine artificial diets. Honey bees successfully completed larval development under a wide range of protein and carbohydrate contents, with the medium protein (∼5%) diet having the highest survival. Protein and carbohydrate both had significant and non-linear effects ongrowth rate, with the highest growth rates observed on a medium-protein, low-carbohydrate diet. Diet composition did not have a statistically significant effect on development time. These results confirm previous findings that protein and carbohydrate content affect the growth of A. mellifera larvae. However, this study identified an interaction between carbohydrate and protein content that indicates a low-protein, high-carb diet has a negative effect on larval growth and survival. These results imply that worker recruitment in the hive would decline under low protein conditions, even when nectar abundance or honey stores are sufficient. © 2017. Published by The Company of Biologists Ltd.		carbohydrate, protein, royal jelly, Article, artificial diet, carbohydrate analysis, honeybee, in vitro study, larval development, nonhuman, nutrient content, nutrition, protein content, water content	2017-06-15
Viral delivery of dsRNA for control of insect agricultural pests and vectors of human disease: Prospects and challenges	RNAi is applied as a new and safe method for pest control in agriculture but efficiency and specificity of delivery of dsRNA trigger remains a critical issue. Various agents have been proposed to augment dsRNA delivery, such as engineered micro-organisms and synthetic nanoparticles, but the use of viruses has received relatively little attention. Here we present a critical view of the potential of the use of recombinant viruses for efficient and specific delivery of dsRNA. First of all, it requires the availability of plasmid-based reverse genetics systems for virus production, of which an overview is presented. For RNA viruses, their application seems to be straightforward since dsRNA is produced as an intermediate molecule during viral replication, but DNA viruses also have potential through the production of RNA hairpins after transcription. However, application of recombinant virus for dsRNA delivery may not be straightforward in many cases, since viruses can encode RNAi suppressors, and virus-induced silencing effects can be determined by the properties of the encoded RNAi suppressor. An alternative is virus-like particles that retain the efficiency and specificity determinants of natural virions but have encapsidated non-replicating RNA. Finally, the use of viruses raises important safety issues which need to be addressed before application can proceed. © 2017 Kolliopoulou, Taning, Smagghe and Swevers.		ABC transporter A1, ABC transporter G1, cycloheximide, erythrodiol, messenger RNA, resazurin, scavenger receptor BI, atherosclerosis, cell viability, cholesterol transport, controlled study, drug half life, enzyme inhibition, human, human cell, limit of quantitation, macrophage, protein degradation, protein function, protein RNA binding, protein synthesis, reverse transcription polymerase chain reaction, Review, Western blotting	2017-06-14
Video tracking protocol to screen deterrent chemistries for honey bees	The European honey bee, Apis mellifera L., is an economically and agriculturally important pollinator that generates billions of dollars annually. Honey bee colony numbers have been declining in the United States and many European countries since 1947. A number of factors play a role in this decline, including the unintentional exposure of honey bees to pesticides. The development of new methods and regulations are warranted to reduce pesticide exposures to these pollinators. One approach is the use of repellent chemistries that deter honey bees from a recently pesticide-treated crop. Here, we describe a protocol to discern the deterrence of honey bees exposed to select repellent chemistries. Honey bee foragers are collected and starved overnight in an incubator 15 h prior to testing. Individual honey bees are placed into Petri dishes that have either a sugar-agarose cube (control treatment) or sugar-agarose-compound cube (repellent treatment) placed into the middle of the dish. The Petri dish serves as the arena that is placed under a camera in a light box to record the honey bee locomotor activities using video tracking software. A total of 8 control and 8 repellent treatments were analyzed for a 10 min period with each treatment was duplicated with new honey bees. Here, we demonstrate that honey bees are deterred from the sugar-agarose cubes with a compound treatment whereas honey bees are attracted to the sugar-agarose cubes without an added compound. © 2017 Journal of Visualized Experiments.		insect repellent, pesticide, agriculture, animal, animal behavior, bee, drug effects, environmental monitoring, physiology, pollination, procedures, videorecording, Agriculture, Animals, Bees, Behavior, Animal, Environmental Monitoring, Insect Repellents, Pesticides, Pollination, Video Recording	2017-06-12
Propolis counteracts some threats to honey bee health	Honey bees (Apis mellifera) are constantly dealing with threats from pathogens, pests, pesticides and poor nutrition. It is critically important to understand how honey bees’ natural immune responses (individual immunity) and collective behavioral defenses (social immunity) can improve bee health and productivity. One form of social immunity in honey bee colonies is the collection of antimicrobial plant resins and their use in the nest architecture as propolis. We review research on the constitutive benefits of propolis on the honey bee immune system, and its known therapeutic, colony-level effects against the pathogens Paenibacillus larvae and Ascosphaera apis. We also review the limited research on the effects of propolis against other pathogens, parasites and pests (Nosema, viruses, Varroa destructor, and hive beetles) and how propolis may enhance bee products such as royal jelly and honey. Although propolis may be a source of pesticide contamination, it also has the potential to be a detoxifying agent or primer of detoxification pathways, as well as increasing bee longevity via antioxidant-related pathways. Throughout this paper, we discuss opportunities for future research goals and present ways in which the beekeeping community can promote propolis use in standard colonies, as one way to improve and maintain colony health and resiliency. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.			2017-06-01
