Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Access Type,Source,EID
"Argauer R.J., Gilliam M.","A fluorometric method for determining oxytetracycline in treated colonies of the honey bee, Apis mellifera",1974,"Journal of Invertebrate Pathology","23","1",,"51","54",,9,10.1016/0022-2011(74)90072-X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015990934&doi=10.1016%2f0022-2011%2874%2990072-X&partnerID=40&md5=f0fd121a6c8afbbe598fb63a74334497","Agricultural Research Service, Agricultural Environmental Quality Institute, Analytical Chemistry Laboratory, Beltsville, MD 20705, United States; Agricultural Research Service, Bee Research Laboratory, U.S. Department of Agriculture, 2000 East Allen Road, Tucson, AZ 85719, United States","Argauer, R.J., Agricultural Research Service, Agricultural Environmental Quality Institute, Analytical Chemistry Laboratory, Beltsville, MD 20705, United States; Gilliam, M., Agricultural Research Service, Bee Research Laboratory, U.S. Department of Agriculture, 2000 East Allen Road, Tucson, AZ 85719, United States","A chemical method based on a fluorescent complex of oxytetracycline (OTC) was developed and used to analyze for the antibacterial agent in pollen patties, and larvae and adults of the honey bee, Apis mellifera. An average of 0.34 μg OTC per adult bee was recovered from hives fed pollen patties that contained 60 ppm OTC. © 1974.",,Article,,Scopus,2-s2.0-0015990934
"Gilliam M., Prest D.B., Morton H.L.","Fungi isolated from honey bees, Apis mellifera, fed 2,4-D and antibiotics",1974,"Journal of Invertebrate Pathology","24","2",,"213","217",,20,10.1016/0022-2011(74)90013-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016251893&doi=10.1016%2f0022-2011%2874%2990013-5&partnerID=40&md5=8a845e60ee46b91f692ea8fb6412b786","Agricultural Research Service, U.S. Department of Agriculture, 2000 E. Allen Road, Tucson, AZ 85719, United States; Biology Department, Keuka College, Keuka Park, NY 14478, United States; Agricultural Research Service, U.S. Department of Agriculture, 2000 E. Allen Road, Tucson, AZ 85719, United States","Gilliam, M., Agricultural Research Service, U.S. Department of Agriculture, 2000 E. Allen Road, Tucson, AZ 85719, United States; Prest, D.B., Biology Department, Keuka College, Keuka Park, NY 14478, United States; Morton, H.L., Agricultural Research Service, U.S. Department of Agriculture, 2000 E. Allen Road, Tucson, AZ 85719, United States","Eighteen species of fungi were isolated and identified from the intestines of 388 honey bees, Apis mellifera. Bees fed a combination of oxytetracycline and fumagillin contained fewer fungi than control bees or bees fed 2,4-D. New records of fungi associated with honey bees include Alternaria tenuissima, Cladosporium cladosporoides, Bipolaris sp., Curvularia brachyospora, Penicillium ochro-chloron, Penicillium urticae, and Rhizopus arrhizus. © 1974.",,Article,,Scopus,2-s2.0-0016251893
"Gilliam M., Valentine D.K.","Enterobacteriaceae isolated from foraging worker honey bees, Apis mellifera",1974,"Journal of Invertebrate Pathology","23","1",,"38","41",,21,10.1016/0022-2011(74)90069-X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015958009&doi=10.1016%2f0022-2011%2874%2990069-X&partnerID=40&md5=e3b68db68ab5ad3aad7e874e89fdf8d7","USDA, ARS, Bee Research Laboratory, 2000 E. Allen Road, Tucson, AZ 85719, United States","Gilliam, M., USDA, ARS, Bee Research Laboratory, 2000 E. Allen Road, Tucson, AZ 85719, United States; Valentine, D.K., USDA, ARS, Bee Research Laboratory, 2000 E. Allen Road, Tucson, AZ 85719, United States","Enterobacter cloacae, Escherichia coli, Enterobacter aerogenes, Shigella sp., and Klebsiella pneumoniae were isolated from the intestinal contents of healthy foraging adult worker honey bees, Apis mellifera, in Tucson, Arizona. Three cultures could not be identified. Pseudomonadaceae and Erwinia organisms were not found. © 1974.",,Article,,Scopus,2-s2.0-0015958009
"Gilliam M., Wickerham L.J., Morton H.L., Martin R.D.","Yeasts isolated from honey bees, Apis mellifera, fed 2,4-D and antibiotics",1974,"Journal of Invertebrate Pathology","24","3",,"349","356",,28,10.1016/0022-2011(74)90143-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016259576&doi=10.1016%2f0022-2011%2874%2990143-8&partnerID=40&md5=b56e7f0142e66c2032411621ca4dc076","Agricultural Research Service, U.S. Department of Agriculture, Tucson, AZ 85719, United States","Gilliam, M., Agricultural Research Service, U.S. Department of Agriculture, Tucson, AZ 85719, United States; Wickerham, L.J., Agricultural Research Service, U.S. Department of Agriculture, Tucson, AZ 85719, United States; Morton, H.L., Agricultural Research Service, U.S. Department of Agriculture, Tucson, AZ 85719, United States; Martin, R.D., Agricultural Research Service, U.S. Department of Agriculture, Tucson, AZ 85719, United States","Yeasts belonging to seven species were isolated and identified from the intestines of 388 adult worker honey bees, Apis mellifera. Torulopsis magnoliae, Candida parapsilosis, and Torulopsis grabrata were found in bee guts most frequently. The intestines of bees from colonies fed a combination of Terramycin and Fumidil B contained few or no yeasts. More guts of bees from colonies fed 2,4-D contained yeasts than those examined from bees from control colonies. © 1974.",,Article,,Scopus,2-s2.0-0016259576
"Gilliam M., Morton H.L.","Enterobacteriaceae islated from honey bees, Apis mellifera, treated with 2,4-D and antibiotics",1974,"Journal of Invertebrate Pathology","23","1",,"42","45",,7,10.1016/0022-2011(74)90070-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015981403&doi=10.1016%2f0022-2011%2874%2990070-6&partnerID=40&md5=f1fa6e845885ae5a834201c01d327f1e","Agricultural Research Service, USDA, 2000 E. Allen Road, Tucson, AZ 85719, United States","Gilliam, M., Agricultural Research Service, USDA, 2000 E. Allen Road, Tucson, AZ 85719, United States; Morton, H.L., Agricultural Research Service, USDA, 2000 E. Allen Road, Tucson, AZ 85719, United States","Klebsiella pneumoniae, Shigella sp., Enterobacter cloacae, Escherichia coli, Enterobacter hafniae, Arizona sp., Enterobacter aerogenes, Serratia liquefaciens, and Citrobacter sp. were isolated from the intestinal contents of honey bees, Apis mellifera, which were obtained either from untreated colonies, from colonies fed the herbicide 2,4-D, or from colonies fed a combination of oxytetracycline and fumagillin. Antibiotics depressed the growth of Enterobacteriaceae; 2,4-D had little effect on the enteric microflora of bees. © 1974.",,Article,,Scopus,2-s2.0-0015981403
"Olson F.C., Munjal D., Malviya A.N.","Structural and respiratory effects of melittin (Apis mellifera) on rat liver mitochondria",1974,"Toxicon","12","4",,"419","425",,16,10.1016/0041-0101(74)90010-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016239193&doi=10.1016%2f0041-0101%2874%2990010-5&partnerID=40&md5=5ce0da5dd45b3af93b6d82240337a3e1","Department of Biochemistry, State University of New York at Buffalo, Buffalo, NY 14214, United States","Olson, F.C., Department of Biochemistry, State University of New York at Buffalo, Buffalo, NY 14214, United States; Munjal, D., Department of Biochemistry, State University of New York at Buffalo, Buffalo, NY 14214, United States; Malviya, A.N., Department of Biochemistry, State University of New York at Buffalo, Buffalo, NY 14214, United States","A modified method for the purification of melittin from Apis mellifera venom is described. Melittin purified according to this procedure is free of phospholipase A2 activity. Melittin has two concentration dependent effects on isolated rat liver mitochondria: at low concentrations it prevents phosphate acceptor control; at higher concentrations it blocks mitochondrial respiration. Electron micrographs of treated mitochondria show outer membrane lysis with preservation of inner membrane structure. © 1974.",,Article,,Scopus,2-s2.0-0016239193
"BUTLER C.G., CALLOW R.K., GREENWAY A.R., SIMPSON J.","MOVEMENT OF THE PHEROMONE, 9‐OXODEC‐2‐ENOIC ACID, APPLIED TO THE BODY SURFACES OF HONEYBEES (APIS MELLIFERA)",1974,"Entomologia Experimentalis et Applicata","17","1",,"112","116",,11,10.1111/j.1570-7458.1974.tb00324.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-12444254076&doi=10.1111%2fj.1570-7458.1974.tb00324.x&partnerID=40&md5=6fd266d7d064dfdec25b24003180db2e","Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom","BUTLER, C.G., Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom; CALLOW, R.K., Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom; GREENWAY, A.R., Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom; SIMPSON, J., Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom","Movement of 9‐oxodec‐2‐enoic acid, a queen honeybee pheromone, from one part of a bee to another was studied using material labelled with tritium. Translocation was demonstrated, apparently partly on the surface and partly internally. Tritium exchange with tissue material caused some difficulty in precise interpretation of the results. VOIES DE TRANSLOCATION ET DE PÉNÉTRATION DE LA PHÉROMONE, L'ACIDE 9‐OXODEC‐TRANS‐2‐ENOÏQUE, APPLIQUÉE SUR LA SURFACE DU CORPS DE L'ABEILLE (APIS MELLIFERA) On a suivi les voies de translocation et de pénétration de l'acide 9‐oxodec‐trans‐2 enoïque, marqué avec du tritium et appliqué à la surface du corps d'abeilles vivantes. On a noTÉ un transfert peu important mais défini, de la surface du thorax vers l'abdomen, avec pénétration à travers le TÉgument et échange du tritium avec d'autres composés. Les détails du processus par lequel la phéromone est transférée des glandes mandibulaires de la reine à l'ensemble de la colonie n'ont pas éTÉ déterminés avec certitude à l'aide de cette technique. 1974 The Netherlands Entomological Society",,Article,,Scopus,2-s2.0-12444254076
"Gilbert M.D., Wilkinson C.F.","Microsomal oxidases in the honey bee, Apis mellifera (L.)",1974,"Pesticide Biochemistry and Physiology","4","1",,"56","66",,43,10.1016/0048-3575(74)90084-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344084853&doi=10.1016%2f0048-3575%2874%2990084-4&partnerID=40&md5=b990db3d4748527d5092461a65e868a2","Department of Entomology, Cornell University, Ithaca, NY 14850, United States","Gilbert, M.D., Department of Entomology, Cornell University, Ithaca, NY 14850, United States; Wilkinson, C.F., Department of Entomology, Cornell University, Ithaca, NY 14850, United States","Epoxidase, hydroxylase, and O-demethylase activities were studied in both larvae and adults of the honey bee, Apis mellifera (L.). In adult drone and worker bees, oxidase activity was observed only with intact tissues, particularly the midgut, and was lost completely on tissue homogenization. Homogenates and subcellular fractions from whole drone honey bee larvae exhibited oxidase activity and optimum in vitro assay conditions were established. The enzymes required NADPH and oxygen for maximum activity and were inhibited by CO and insecticide synergists. Electron micrographs of various subcellular fractions from drone honey bee larvae showed that oxidase activity was associated with smooth and rough vesicles probably derived from the endoplasmic reticulum. Levels of oxidase activity were dependent on age in preparations from both adult insects and from drone larvae. © 1974.",,Article,,Scopus,2-s2.0-0344084853
"Seeley T.D.","Atmospheric carbon dioxide regulation in honey-bee (Apis mellifera) colonies",1974,"Journal of Insect Physiology","20","11",,"2301","2305",,67,10.1016/0022-1910(74)90052-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016126809&doi=10.1016%2f0022-1910%2874%2990052-3&partnerID=40&md5=01ac9807030489a29c753d34bf6a0c64","Dyce Laboratory, Cornell University, Ithaca, NY 14850, United States","Seeley, T.D., Dyce Laboratory, Cornell University, Ithaca, NY 14850, United States","Carbon dioxide releases fanning behaviour in the honey-bee. The response is proportional to the atmospheric CO2 level within the nest and regulates the atmospheric CO2 concentration between 0·10 and 4·25 per cent in small colonies. Large colonies control atmospheric CO2 more precisely than small colonies. © 1974.",,Article,,Scopus,2-s2.0-0016126809
"Barker R.J., Lehner Y.","Acceptance and sustenance value of naturally occurring sugars fed to newly emerged adult workers of honey bees (Apis mellifera L.)",1974,"Journal of Experimental Zoology","187","2",,"277","285",,34,10.1002/jez.1401870211,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015962941&doi=10.1002%2fjez.1401870211&partnerID=40&md5=5d040be8c40aee2bed93a48fd7c235d7","U. S. Department of Agriculture, Agricultural Research Service, 2000 E. Allen Road, Tucson, Arizona, 85719, United States","Barker, R.J., U. S. Department of Agriculture, Agricultural Research Service, 2000 E. Allen Road, Tucson, Arizona, 85719, United States; Lehner, Y., U. S. Department of Agriculture, Agricultural Research Service, 2000 E. Allen Road, Tucson, Arizona, 85719, United States","Thirteen sugars were fed in 0.125, 0.5, and 2 M solutions in water and in 0.5 M sucrose: L‐arabinose, D‐xylose, D‐fructose, D‐glucose, D‐galactose, D‐mannose, lactose, maltose, melibiose, sucrose, trehalose, melezitose, and raffinose. Survival, water consumption, and sugar consumption were measured. No sugar equaled sucrose in acceptance or sustenance. Reduced survival seemed to be associated with aldoses that contain axial hydroxyl groups at C2 or C4 in a C1 pyran ring (mannose, galactose, or arabinose) even if they were in a sucrose solution that ensures feeding. Acceptance was correlated with survival, but whether low acceptance is a consequence or a cause of mortality was not established. When 0.5 M sucrose was supplied separately, bees showed a strong preference for the sucrose solution and were not harmed by small quantities of the other sugars. Copyright © 1974 Wiley‐Liss, Inc., A Wiley Company",,Article,,Scopus,2-s2.0-0015962941
"FREE J.B., WILLIAMS I.H.","Factors determining food storage and brood rearing in honeybee (Apis mellifera L.) comb.",1974,"Journal of Entomology Series A, General Entomology","49","1",,"47","63",,24,10.1111/j.1365-3032.1974.tb00067.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0012446015&doi=10.1111%2fj.1365-3032.1974.tb00067.x&partnerID=40&md5=c00564c2b97e87d968b4fe355889543e","Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom","FREE, J.B., Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom; WILLIAMS, I.H., Rothamsted Experimental Station, Harpenden, Hertfordshire, United Kingdom","An account is given of experiments and observations made to discover the factors that decide whether the bees use a particular cell for brood‐rearing, storing honey or storing pollen. The implications are discussed in relation to the overall pattern of food storage and brood‐rearing in the colony. © 1974 Royal Entomological Society",,Article,,Scopus,2-s2.0-0012446015
